hcode,name1,name2
534,VRYA6-7102,最終受注2018年6月末
535,D25XB60-7009 F21, 
536,SG30TC10M-5600, 
537,D2SB60-4004 ﾊｲﾋﾝ, 
538,ST03D-170-4004 P12.5, 
539,MA8910-7104 ﾊｲﾋﾝ, 
540,D1FL40U-5103, 
541,ST02D-170-4060, 
542,DG1M3-5063, 
543,ST03D-200-4001 P15,200個単位
544,MG038B150080A, 
545,D1FL20U-7063 ﾊｲﾋﾝ, 
546,CSP17-80-AGW B1ES-040031, 
547,D1F60-5053, 
548,MG031N110006A-7101, 
549,SF20SC4-7100 ﾊｲｼ,09年12月末最終受注
550,D1FP3-5053,2020年9月末最終受注
551,D1FL40-5053,最終受注2013年3月末日
552,ST70-27MF-4072, 
553,ST02D-140-4000, 
554,DF40PC3-7072,2020年9月末最終受注
555,K1V10F-4000 B1EB-85182,保守 2017年5月まで
556,SG10SC4M-5600, 
557,F5E52VX3-7061 ﾊｲｼ,09年12月末最終受注
558,HNDS010A-D,2018年3月26日最終受注
559,HNDS010A-L,2018年3月26日最終受注
560,MD1422N-3072,最終受注2020年9月末
561,SG10SC6M-5600, 
562,DE5SC3ML-7101, 
563,S60SC6MT-5000, 
564,D1FK60-5053, 
565,SG10SC9M-5600, 
566,K1V10F-7000 B1EB-85182, 
567,D10XB60-7000, 
568,PV-WATCH-ST2-3G(SIMﾚｽ),2020年2月末最終受注
569,S1ZB80-7072, 
570,ST03DH-240-7009 F43, 
571,S12S60SIC-7100 ﾊｲｼ,09年12月末最終受注
572,D1FS6-7063 ﾊｲﾋﾝ, 
573,Aﾊﾞﾝ ｵﾝｻｲﾄﾋﾖｳ,現地出張費用のみ
574,DF-9 ﾊｲｼ, 
575,DF-13 ﾊｲｼ, 
576,MAﾖｳ ｸﾘｯﾌﾟ ﾊｲﾋﾝ,最終受注2011年12月末
577,ST03D-82-4000,廃止品NO.588へ
578,D3SB60-7000, 
579,D1F60-7063 ﾊｲﾋﾝ, 
580,SG5LC20USM-5600, 
581,S60L120D-7000,保守品
582,D15FR60V-5071, 
583,SG20LC20USM-5600, 
584,HK-05S040-1010, 
585,D1F60-5053,ASD 4桁
586,S90T15V-5100, 
587,DF30SC3ML-7102, 
588,ST03D-82-7000, 
589,D3F60-7063 ﾊｲﾋﾝ,2011年1月末最終受注
590,P38LF6QLK-5071, 
591,P34F6EL-5600, 
592,ST60-48MF-4072, 
593,D15XB100-7000, 
594,KL3Z07-5053, 
595,D1FS6-5053, 
596,K1V6-4002 P5 B1EB-91237,廃止
597,CEP40-60-AGW ﾌｸﾞｱｲﾀｲｵｳﾈﾋﾞｷ, 
598,SG10SC4-5600,使用不可
599,SG20TC10M-5600, 
600,SF5L60-7100 ﾊｲｼ,09年12月末最終受注
601,D25XB60-7000 B1QK-060003(L3-L), 
602,D1FM3-5053  SDP 4ｹﾀ, 
603,D3SBA60-7000 B1QK-070008(L1-L), 
604,S1YB60-7102,最終受注2018年6月末
605,D15XBS6-7000, 
606,D10SBS4-7000, 
